,0,channelTitle,publishedAt,channelId,title,tags,viewCount,likeCount
36,eMzBXd65Z68,もちまる日記,2023-08-07T23:01:00Z,UCplhkHsYKxXjTde1lq8F-4w,手で壁を押し返せる猫は賢いらしいのでやってみたらまさかのこうなったw,,930381,
37,mvIHUDuU4PM,ChroNoiR,2023-08-07T10:00:09Z,UCz6vnIbgiqFT9xUcD6Bp65Q,【ガ◯使！？】叶が待望した利き◯◯やってみた！ #くろなん,"['chronoir', 'くろのわーる', 'クロノワール', '葛葉', '叶', 'にじさんじ', 'nijisanji', 'VTuber', '利き○○', '水', '味覚', '好物', 'カフェオレ', 'グルメ']",408518,16218
38,DLr2-VNXEuU,Nissy Channel,2023-08-06T11:00:17Z,UCVLN35Ab6UoeKYiIZupgrIw,Nissy(⻄島隆弘) / 「Rendezvous」Music Video,"['nissy', '西島隆弘', 'AAA', '花火', '夏の曲']",3856129,25091
39,NXxDIAaOIbM,めざましテレビチャンネル,2023-08-07T23:00:18Z,UCrrsHarrLoiLTqu1LHxDJpw,【公式】『ちいかわ』第89話「新しいともだち④」※1週間限定配信＜8/15 (火)AM7:59まで＞,"['ちいかわ', 'アニメちいかわ', 'めざましテレビ', 'フジテレビ', 'アニメ', '新作アニメ', 'ショートアニメ', 'すみっこぐらし', 'モルカー', '声優', '小澤亜李', '井口裕香', '杉田智和', '東地宏樹', '松岡禎丞', '内田雄馬', '淺井孝行', 'かわいい', '癒し', '昼寝', '朝', '考察', '討伐', 'ねこ', 'ウサギ', 'キッズ', '子供', 'ドラえもん', 'アンパンマン']",999406,36238
40,PbSynVKs6zA,TBS公式 YouTuboo,2023-08-06T12:52:17Z,UCxpIo6FFB7gMQz2Fy2X8XdQ,『VIVANT』別班vs謎の組織｢テント｣＆乃木の秘密とは… 第5話 8/13(日)よる9時【TBS】,"['TBS', 'ＴＢＳ']",575004,2718
41,TZcWE-DRoGU,サイヤマングレート,2023-08-07T09:30:43Z,UCCJel9mmTsxDU9RiCwdiLiA,俺史上最強の身体で挑んだ日本クラシックボディビル！！結果速報！！！,,224403,3407
42,bRwJR61qMXQ,椎名唯華 / Shiina Yuika,2023-08-06T13:25:23Z,UC_4tXjqecqox5Uc05ncxpxg,【#にじ甲2023】＃11　にじさんじ高校3年目夏甲子園～【にじさんじ/椎名唯華】,"['椎名唯華', 'しいなゆいか', 'shiinayuika', 'にじさんじ', 'nijisanji', 'Vtuber', 'anime', 'アニメ', 'japan', '切り抜き', '雑談', 'game', 'ゲーム', '実況', '歌ってみた', '栄冠', 'パワプロ', 'にじさんじ甲子園', 'にじ甲', 'にじ高', '葛葉', '魔界ノりりむ', 'ずしり', 'ラトナ・プティ', '舞元啓介', 'ジョー・力一', '夢追翔']",780750,9275
43,hqdv_22d4Zs,Kanekin Fitness,2023-08-07T10:41:09Z,UClVxlTdjXCH02L9WtiPu_rg,優勝しに行ったはずがまさかの。。。 | EP 9 | 大会当日 〜 Phoenix Pro 2023 4K,"['メンズフィジーク', 'NPCJ', 'モチベーション', 'スクワット', 'バルクアップ', 'プロテイン', 'やり方', '健康', 'ダイエット', '運動', 'fitness', 'workout', 'deadlift', 'squat', 'bench', 'muscles', 'diet', 'kanekin', '筋トレ', '筋肉', 'フィットネス', 'トレーニング', 'ハーフ', '腹筋', 'デッドリフト', 'バイセップ', 'カール', 'レッグプレス', 'オートミール', 'フィジーク', 'ワークアウト', 'IFBBプロ', 'カネキンジム']",141650,2515
44,rYZ9pPC779o,Fischer's-フィッシャーズ-,2023-08-07T10:00:11Z,UCibEhpu5HP45-w7Bq1ZIulw,【ギガ鉄板】超巨大絶品マルゲリータピザをBBQ会場で作ったらウマすぎた！！【デカ料理】,"[""Fischer's"", 'フィッシャーズ', '野生児', 'MASAI.', '無謀', '自然', 'チャレンジ', 'シルクロード', 'マッチョ', 'マサイ', 'ザカオ', 'ンダホ', 'ダーマ', 'モトキ', 'おもしろ', '挑戦', 'SilkRoad', 'Dama', 'Ndaho', 'Zakao', 'Motoki', 'Masai', 'シルクの部屋', '毎日', '動画', '投稿', '面白', '面白動画', 'やってみた', 'ウケる', '爆笑', '大爆笑', 'コント', '一発芸', 'ギャグ', 'ネタ', '楽しい', 'お笑い', '笑える', 'オススメ', '商品紹介', 'YouTube', 'youtuber', 'Japan', 'japanese', 'Blog', 'Vlog', '腹筋崩壊', '抱腹絶倒', '都市伝説', '身体張る', 'スポーツ', '講座', 'ビログ', 'ビデオブロガー', '大学生', '軍団', 'イケメン', 'ウオタミ', 'UUUM', 'ウーム', 'ギガ鉄板', '巨大料理', '大量', '食材', '巨大', 'ピザ', 'マルゲリータ', '鉄板', '規模', '最大', 'ワンピース', 'モッツァレラ', 'チーズ', 'バジリスク', 'バジル', '部活', 'パン', 'ターミネーター', 'ウィ・ウィル・ロック・ユー', 'We Will Rock You', 'クイーン', 'ハリーポッター', '賢者の石']",1135499,25613
45,cbPprYJzWvQ,IKITERU【イキテル】,2023-08-07T11:06:48Z,UCBBLybG7OxGtnaGuJAr1xjw,初めて日本の電車に乗って韓国の高校生が衝撃!! 毎日利用してたのに全く違いました...大感激して降りたくないってw,"['日本の電車', '初めて韓国', '初めて日本', '韓国の高校生', '電車', '地下鉄', '日本の地下鉄', '東京メトロ', '京成線', 'JR', '電車乗り換え', '翼', '外国人の反応', '国', '日本と韓国', '韓国語', '韓国語勉強', '韓国語会話', '韓国語日常会話', '韓国語単語', '韓国語初級者', '韓国語独学', '韓国人ユーチューバー', '韓国人', '韓国人男子', '韓国人男性', '韓国人の友達', '韓国紹介', '韓国情報', '韓国文化', '韓国紹介ユーチューバー', '韓国人の反応', '韓国の反応', '外国の反応', '海外の反応', '日本旅行', '韓国人日常', '日常vlog', '日本生活', '日本文化', '日本に来て驚いた', '日本在住韓国人', '日本に住んでる韓国人', '来日韓国人', '来日外国人', '日本在住外国人', 'Korea', 'Japan', 'Life', 'Tourism', '観光', '일본여행', '일본브이로그', '일본vlog', '日本vlog', '韓国人 レビュー', '外国人 レビュー', '外国人 日本', '外国人 日本語', '먹방', '일상vlog', 'モッパン', 'Food', 'フード', '大食い', '食べレポ', '外国人 食事', '일본전차', '케이세이센', '제이알', '일본 지하철', '日本の駅', '観光名所駅', '面白い駅', '漫画のキャラクター駅', 'キャプテン翼', '캡틴츠바사', 'キャプテン翼駅', '京成線キャプテン翼']",855888,19394
46,lzuMJHZR6Q8,Lazy Lie Crazy【レイクレ】,2023-08-07T11:01:00Z,UCP-32CzsbLiiIb2LbYk8mZA,【散財】給料日やから大人買いしまくったったwww,"['レイクレ', 'ともやん', '急上昇', 'コムドット', 'どば師匠', 'てっちゃん', 'たかし', 'ぺろ愛男爵', '東海オンエア', 'フィッシャーズ', '神回', 'はじめしゃちょー', 'エスポワール', '平成フラミンゴ', 'Youtuber', '新世代', 'TikTok', 'お笑い', 'れいくれ', '面白い', '給料', '給料日', '大豪遊', '散財', 'お金', '大金', 'アメ村', '古着', 'ディグ', 'ショッピング', '爆買い']",588854,11276
47,yhB3BgJyGl8,MrBeast,2023-08-05T16:00:01Z,UCX6OQ3DkcsbYNE6H8uQQuVA,7 Days Stranded At Sea,,92220653,4583147
48,AD_icXjo_Ec,らっだぁ,2023-08-07T10:40:48Z,UClNdVSK1uy2xFHTaXZYXopw,【厄日】sasa署長から信用されていたらっだぁ、やらかす【VCRグラセフ/VCRGTA】,"['マインクラフト', 'Minecraft', 'マイクラ', 'らっだぁ', 'ゲーム', 'ゲーム実況', 'ニコ生']",425944,15539
49,7buTE816xWQ,ライバロリ,2023-08-07T10:22:47Z,UCSdExItCszcnIp-roT7b0kw,マイナーアイテムに成り下がった「しんかのきせき」を一番強く使えるポケモン知ってる…？？？【ポケモンSV】猿,"['ポケモン', 'ポケットモンスター', 'ソード', 'シールド', 'ポケモン剣盾', 'ポケモンソードシールド', '実況動画', 'ゲーム動画', 'ポケモンSV', 'スカーレット', 'バイオレット']",233795,4355
